Module                  | Self CPU total | CPU total | Self CUDA total | CUDA total | Self CPU Mem | CPU Mem | Self CUDA Mem | CUDA Mem  | Number of Calls
------------------------|----------------|-----------|-----------------|------------|--------------|---------|---------------|-----------|----------------
DistributedDataParallel |                |           |                 |            |              |         |               |           |                
└── module              |                |           |                 |            |              |         |               |           |                
 ││├── conv2            | 134.186us      | 495.139us | 2.512ms         | 10.009ms   | 0 b          | 0 b     | 18.57 Mb      | 227.27 Mb | 1              
 ││├── bn2              | 116.730us      | 305.148us | 219.936us       | 588.480us  | 0 b          | 0 b     | 18.57 Mb      | 92.85 Mb  | 1              
 ││├── downsample       |                |           |                 |            |              |         |               |           |                
 │││├── 0               | 94.436us       | 335.548us | 464.352us       | 1.818ms    | 0 b          | 0 b     | 18.57 Mb      | 74.27 Mb  | 1              
 │││└── 1               | 116.380us      | 305.068us | 220.352us       | 590.592us  | 0 b          | 0 b     | 18.57 Mb      | 92.85 Mb  | 1              
 │└── 1                 |                |           |                 |            |              |         |               |           |                
 │ ├── conv1            | 100.360us      | 358.608us | 2.474ms         | 9.857ms    | 0 b          | 0 b     | 18.57 Mb      | 227.27 Mb | 1              
 │ ├── bn1              | 120.185us      | 316.930us | 227.808us       | 612.736us  | 0 b          | 0 b     | 18.57 Mb      | 92.85 Mb  | 1              
 │ ├── relu             | 80.553us       | 161.988us | 199.744us       | 552.032us  | 0 b          | 0 b     | 0 b           | 0 b       | 2              
 │ ├── conv2            | 103.011us      | 366.948us | 2.466ms         | 9.826ms    | 0 b          | 0 b     | 18.57 Mb      | 227.27 Mb | 1              
 │ └── bn2              | 116.204us      | 304.298us | 220.704us       | 590.624us  | 0 b          | 0 b     | 18.57 Mb      | 92.85 Mb  | 1              
 ├── avgpool            | 101.448us      | 222.264us | 252.480us       | 497.408us  | 0 b          | 0 b     | 388.00 Kb     | 1.14 Mb   | 1              
 └── fc                 | 115.575us      | 239.993us | 149.984us       | 277.408us  | 0 b          | 0 b     | 758.00 Kb     | 2.22 Mb   | 1              
